fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,29,TAMIL NADU,2914,NAGAPATTINAM,500601,364.827354354823,11,61,0,3108,0,3559,141062,58859,82731,174,249,84.00998,598.6427426,12135,14345,106656,164751,0,119755,180351,6667,514.6327626,106520,71,11.68,7.9,100,NA
2025-2026,July,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,1145915,280.550034672292,7,2127,0,3225,1,6670,798332,161164,82936,9689,5098,164.79035,2404.5110528,109805,113332,302359,374466,1,322336,400947,9895,2239.7207028,696073,52,34.82,50.07,100,NA
2025-2026,July,29,TAMIL NADU,2924,VIRUDHUNAGAR,1668605,285.600514281234,11,1863,0,1214,0,4158,854513,261279,75863,85,118,150.40184,2590.8953626,75436,78871,216209,265372,0,247636,299620,5372,2440.4935226,727026,42,20.73,58,100,NA
2025-2026,July,29,TAMIL NADU,2936,TENKASI,731366,306.700143405373,9,456,0,1377,0,5316,257452,63287,62224,3,71,106.85039,896.456043200001,25836,27446,138792,189537,1,164594,219127,6693,789.605653200001,202457,55,20.19,28.02,100,NA
2025-2026,July,29,TAMIL NADU,2938,MAYILADUTHURAI,504055,267.541930201395,7,305,0,777,0,5580,355222,156300,106518,303,275,84.38999,1034.7577853,44987,53234,153174,233506,0,161962,243419,6357,950.367795299999,281181,47,45.69,44.16,100,NA
2025-2026,July,29,TAMIL NADU,2902,TIRUVALLUR,1598383,210.220572817543,9,1021,4.6553256,2950,0,13098,821780,267170,118081,46112,8649,260.92004,1993.1259889,90950,92421,265052,311099,0,309947,376464,16048,1727.5506233,745591,46,32.4,34.03,100,NA
2025-2026,July,29,TAMIL NADU,2906,TIRUVANNAMALAI,4145923,169.834008535321,8,12225,0,3439,4,10447,2554327,597133,149803,65290,27670,440.11253,4778.22846520002,293112,305968,512824,656591,0,540675,686610,13886,4338.11593520002,2122043,45,48.98,50.19,100,NA
2025-2026,July,29,TAMIL NADU,2917,KARUR,775793,350.512874830313,8,518,0,358,0,5945,232045,56485,36358,33,25,86.48606,899.8336604,28033,28908,123859,154648,0,142727,177407,6303,813.3476004,201558,69,53.92,76.3,100,NA
2025-2026,July,29,TAMIL NADU,2928,KANNIYAKUMARI,215588,300.201508170586,10,213,16.0813358,341,1,2553,137995,11261,4136,136,254,72.87009,503.214497,13630,14033,38720,48247,3,77997,96489,2894,414.2630712,115287,63,55.15,53.33,100,NA
2025-2026,July,29,TAMIL NADU,2930,KRISHNAGIRI,1635014,259.776449315774,9,690,22.7970376,1709,0,9592,559464,76880,38721,3762,2785,222.96656,1699.119312,58543,59966,254809,285745,0,295768,333526,11301,1453.3557144,509146,69,22.49,31.78,100,NA
