fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,29,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,221,87,7844,0,0,37646,0,4583,42.69844,99.0703532,0,0,132094,154434,0,145821,184487,8065,56.3719132,0,70,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,0,0,0,0,389,472,10182,0,0,149466,0,27579,182.48135,301.8616017,0,0,511028,654336,0,540250,685857,10571,119.3802517,0,40,0.83,10.78,0,NA
2025-2026,April,29,TAMIL NADU,2921,THENI,129802,0,0,0,0,30,21,2916,0,0,24745,0,165,34.57203,115.0599934,0,0,83453,101495,0,114248,135386,2946,80.4879634,0,35,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2925,SIVAGANGAI,431184,0,0,0,0,57,260,9722,0,0,45559,0,19,124.37409,170.9644803,0,0,185957,220754,0,201951,238281,9779,46.5903903,0,41,4.61,33.8,0,NA
2025-2026,April,29,TAMIL NADU,2926,TIRUNELVELI,245376,0,0,0,0,7,90,4845,0,0,33689,0,138,0,35.4029772,0,0,95729,112739,0,119722,138944,4852,35.4029772,0,30,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2927,THOOTHUKKUDI,275758,0,0,0,0,86,112,5551,0,0,58565,0,154,80.76864,170.6857313,0,0,149885,177236,0,170871,211678,5637,89.9170913,0,19,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2932,TIRUPPUR,223459,0,0,0,0,186,88,5235,0,0,62028,0,203,0,42.3175006,0,0,133584,158099,0,178585,229731,5421,42.3175006,0,49,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2934,Ranipet,282759,0,0,0,0,174,139,4845,0,0,54382,0,2224,49.41239,87.2364296,0,0,157161,217842,0,182408,247434,5019,37.8240396,0,50,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,0,0,0,0,120,120,4451,0,0,62016,0,70,46.85943,74.6920098,0,0,138068,188467,0,164147,218326,4571,27.8325798,0,51,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2902,TIRUVALLUR,505022,256.992767143581,4,169,0,610,9,11335,76953,25578,117926,3259,8587,115.27556,313.0392041,15442,15654,264579,310590,0,309290,375743,11945,197.7636441,69935,39,19,19.78,100,NA
2025-2026,April,29,TAMIL NADU,2907,SALEM,324582,1735.63216997923,4,26,58.4620205,675,104,12809,6742,989,80925,311,30092,99.08186,274.5602014,1402,1425,340981,422295,0,437194,530122,13484,117.0163209,6045,57,9.94,7.37,100,NA
2025-2026,April,29,TAMIL NADU,2909,DHARMAPURI,300693,1218.77052032842,5,13,3.25305,399,105,9104,10109,1253,37698,582,8344,73.78478,200.2433419,1836,1889,241767,276393,0,276808,313793,9503,123.2055119,9304,55,32,25.31,100,NA
2025-2026,April,29,TAMIL NADU,2912,THE NILGIRIS,69877,564.737837837838,5,7,0,190,3,2122,2960,1067,11411,161,3464,25.59823,42.31447,566,582,30357,38694,0,55435,67745,2312,16.71624,2394,83,22.04,22.47,100,NA
2025-2026,April,29,TAMIL NADU,2917,KARUR,201390,1186.97029082774,5,82,0,238,2,5631,15645,3270,36326,0,25,41.91972,227.621222,2897,2978,123781,154526,0,142650,177290,5869,185.701502,13766,71,53,57.11,100,NA
2025-2026,April,29,TAMIL NADU,2921,THENI,129802,1473.47097808184,4,21,0,518,12,2439,7893,2231,24753,12,166,38.99556,155.2966243,1742,1802,83472,101519,0,114294,135437,2957,116.3010643,6880,36,75.96,70.99,100,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,587.628862538101,5,30,0,277,30,4572,13451,3303,62098,0,71,57.02402,136.0659783,2444,2584,138364,188859,0,164190,218440,4849,79.0419583,10989,53,15.74,10.43,100,NA
2025-2026,April,29,TAMIL NADU,2938,MAYILADUTHURAI,134945,366.729226067936,5,20,0,241,13,5380,31088,12261,106380,15,275,44.8216,158.8303818,5336,6030,153074,233174,0,161625,242803,5621,114.0087818,24768,46,40.03,36.47,100,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,748.437408791717,5,60,0,2223,261,8768,30233,7593,149610,601,27597,201.89808,428.1731618,5165,5556,511982,655392,0,540297,685939,10991,226.2750818,24607,41,11.66,7.29,100,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,590.923731309809,5,30,0,277,30,4568,13376,3273,62098,0,71,57.02402,136.0659783,2421,2561,138363,188858,0,164190,218440,4845,79.0419583,10914,53,15.77,10.44,100,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,1364.46551541926,5,20,0,2150,346,8691,11544,2811,149603,286,27597,201.89808,359.4119791,2147,2286,511969,655369,0,540284,685917,10841,157.5138991,9682,41,9.06,4.67,100,NA
2025-2026,April,29,TAMIL NADU,2908,NAMAKKAL,182615,455.863109230528,4,41,0.04995,556,42,4836,12762,3194,63355,649,20751,77.43973,135.66693,3105,3138,181188,226279,0,220187,276169,5392,58.17725,11434,45,14.96,27.99,100,NA
2025-2026,April,29,TAMIL NADU,2913,THANJAVUR,266872,563.745570321152,4,12,0,1527,227,8124,7224,1540,116646,2,118,126.41163,167.13661,1480,1544,271584,365616,0,297413,394218,9651,40.72498,6105,37,30.42,0,100,NA
2025-2026,April,29,TAMIL NADU,2914,NAGAPATTINAM,150879,2990.43222320638,6,0,0,982,43,3959,2258,762,82616,12,249,42.56705,110.0910096,369,422,106440,164303,0,119315,179604,4941,67.5239596,1866,67,0.11,0,100,NA
2025-2026,April,29,TAMIL NADU,2915,TIRUVARUR,173340,2505.28720508658,6,10,0,2578,132,6028,3696,1639,144930,0,39,91.49243,184.0878451,532,648,178839,270889,0,196946,292548,8606,92.5954151,2612,42,36.86,0,100,NA
2025-2026,April,29,TAMIL NADU,2921,THENI,129802,7901.01911092985,4,2,0,488,13,2458,1226,550,24751,0,165,36.37624,133.2427343,271,282,83466,101510,0,114276,135416,2946,96.8664943,1032,36,17.52,3.16,100,NA
2025-2026,April,29,TAMIL NADU,2925,SIVAGANGAI,431184,4541.39224063843,3,3,0,203,141,9692,1629,547,45556,0,19,135.73031,209.7095896,462,466,185964,220751,0,201946,238250,9895,73.9792796,1532,41,2.86,2.92,100,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,776.46020582908,4,14,0,257,68,4508,6073,1695,62093,0,71,57.02402,104.1784483,1232,1299,138341,188819,0,164156,218370,4765,47.1544283,4824,53,16.92,0.23,100,NA
2025-2026,April,29,TAMIL NADU,2904,VILLUPURAM,565553,1261.51977432404,5,25,3.9974,800,303,9882,9394,3767,176376,345,6850,167.49232,289.9968876,1842,1968,427936,598103,0,458174,640466,10682,118.5071676,7908,42,10.54,1.98,100,NA
2025-2026,April,29,TAMIL NADU,2905,VELLORE,181630,9531.36817638266,2,2,0,512,85,7657,669,134,37681,1,4586,46.97269,110.7375431,246,260,132271,154636,0,145866,184552,8169,63.7648531,584,69,2.44,27.3,100,NA
2025-2026,April,29,TAMIL NADU,2908,NAMAKKAL,182615,745.355805958747,4,12,0.04995,501,109,4890,5236,1121,63355,588,20751,77.43973,116.51651,1261,1272,181183,226273,0,220186,276166,5391,39.02683,4717,45,11.15,8.33,100,NA
2025-2026,April,29,TAMIL NADU,2917,KARUR,201390,5894.39975429975,4,9,0,207,3,5639,2442,381,36323,0,25,41.91972,185.860962,491,495,123776,154519,0,142650,177290,5846,143.941242,2139,72,24.13,35.01,100,NA
2025-2026,April,29,TAMIL NADU,2920,MADURAI,500069,4059.54047927461,4,35,0,1076,96,11957,6948,1239,66755,0,659,107.43493,389.4918025,1405,1449,271733,319591,0,299393,360076,13033,282.0568725,6094,60,13.35,3.47,100,NA
2025-2026,April,29,TAMIL NADU,2926,TIRUNELVELI,245376,6229777.91,1,0,0,51,20,4811,1,0,33734,0,138,56.54516,118.8429391,1,1,96062,113105,0,119733,138957,4862,62.2977791,1,31,3.77,0.93,100,NA
2025-2026,April,29,TAMIL NADU,2927,THOOTHUKKUDI,275758,544.616970282551,4,53,0,264,106,5439,19147,6515,58577,5,154,80.76864,185.0464513,3950,4044,149905,177266,0,170919,211735,5703,104.2778113,16909,19,27.58,3.98,100,NA
2025-2026,April,29,TAMIL NADU,2928,KANNIYAKUMARI,53165,87.773401826484,6,3,0,67,81,2152,1752,151,4094,24,225,40.30187,41.83966,284,313,38122,47153,0,76827,94343,2219,1.53779,1391,55,5.58,0,100,NA
2025-2026,April,29,TAMIL NADU,2903,CUDDALORE,575532,1290.60175723473,4,21,0,356,113,12815,12440,3134,252072,243,3421,131.71534,292.2661986,2549,2817,418403,675006,0,469162,736716,13171,160.5508586,9870,42,14.42,2.2,100,NA
2025-2026,April,29,TAMIL NADU,2935,TIRUPATHUR,202917,2474.68318181818,4,4,2.63,769,69,6498,2222,314,25370,75,5015,40.7813,98.3987603,538,562,129381,149049,0,141578,163745,7267,54.9874603,1957,64,19.74,0,100,NA
2025-2026,April,29,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,182,147,7849,0,0,37646,0,4583,0,25.3098332,0,0,132092,154433,0,145821,184488,8031,25.3098332,0,70,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2908,NAMAKKAL,182615,0,0,0,0,290,234,5060,0,0,63350,0,20751,0,18.58008,0,0,181175,226263,0,220168,276150,5350,18.58008,0,45,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2909,DHARMAPURI,300693,0,0,0,0,71,230,9274,0,0,37704,0,8344,0,6.7293415,0,0,241759,276438,0,276850,313888,9345,6.7293415,0,55,100,0,0,NA
2025-2026,April,29,TAMIL NADU,2913,THANJAVUR,266872,0,0,0,0,100,455,9558,0,0,116482,0,118,0,12.12019,0,0,270863,364802,0,297399,394208,9658,12.12019,0,37,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2915,TIRUVARUR,173340,0,0,0,0,327,321,8027,0,0,144739,0,39,0,29.9185165,0,0,178341,270269,0,196922,292513,8354,29.9185165,0,42,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,281989,0,0,0,0,750,364,6346,0,0,82697,0,5087,0,33.96219,0,0,301360,373124,0,321392,399627,7096,33.96219,0,47,19.3,0,0,NA
2025-2026,April,29,TAMIL NADU,2923,RAMANATHAPURAM,444578,0,0,0,0,166,342,9662,0,0,62553,0,23,0,10.0156412,0,0,197530,243539,0,222766,271114,9828,10.0156412,0,59,26.3,0,0,NA
2025-2026,April,29,TAMIL NADU,2924,VIRUDHUNAGAR,446054,0,0,0,0,45,356,2795,0,0,75424,0,118,0,16.1988902,0,0,214627,263292,0,246919,298490,2840,16.1988902,0,15,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2938,MAYILADUTHURAI,134945,0,0,0,0,35,198,5346,0,0,106380,0,275,0,8.24938,0,0,153072,233160,0,161544,242702,5381,8.24938,0,44,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2903,CUDDALORE,575532,0,0,0,0,182,232,12909,0,0,252062,0,3420,130.21534,243.0009912,0,0,418386,674959,0,469157,736683,13091,112.7856512,0,42,1.32,2.21,0,NA
2025-2026,April,29,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,291,87,7809,0,0,37651,0,4585,43.02661,99.3985232,0,0,132109,154461,0,145838,184514,8100,56.3719132,0,69,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,368913.12617647,1,1,0,854,462,9733,34,11,149467,1,27579,182.48135,307.9118129,31,34,511028,654340,0,540256,685868,10587,125.4304629,25,40,7.3,12.06,100,NA
2025-2026,April,29,TAMIL NADU,2915,TIRUVARUR,173340,0,0,0,0,723,188,7714,0,0,144737,0,39,82.34984,151.1307026,0,0,178343,270271,0,196934,292529,8437,68.7808626,0,41,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2932,TIRUPPUR,223459,0,0,0,0,298,20,5123,0,0,62029,0,203,48.94915,109.5548929,0,0,133585,158100,0,178586,229732,5421,60.6057429,0,49,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,0,0,0,0,122,91,4455,0,0,62073,0,71,53.32462,86.0127898,0,0,138314,188752,0,164147,218330,4577,32.6881698,0,51,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2901,KANCHIPURAM,135834,0,0,0,0.2901288,936,40,2795,0,0,56934,0,2510,63.07066,115.3579988,0,0,128118,156212,0,140742,176779,3731,51.99721,0,42,0,83.5,0,NA
2025-2026,April,29,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,507,85,7646,0,0,37681,0,4586,46.97269,110.4536331,0,0,132271,154635,0,145864,184549,8153,63.4809431,0,69,2.7,29.28,0,NA
2025-2026,April,29,TAMIL NADU,2909,DHARMAPURI,300693,0,0,0,0,337,133,9047,0,0,37697,0,8344,73.78478,166.8949597,0,0,241764,276393,0,276804,313792,9384,93.1101796999999,0,55,32.5,3.14,0,NA
2025-2026,April,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,281989,0,0,0,0,2145,170,4996,0,0,82818,0,5094,79.10731,169.18683,0,0,301930,373773,0,321426,399680,7141,90.07952,0,47,1.29,8.23,0,NA
2025-2026,April,29,TAMIL NADU,2919,PUDUKKOTTAI,327563,119098.461881188,2,0,0,466,125,8211,101,2,82108,0,3,117.45679,237.7462365,34,34,293390,424089,0,332457,474695,8677,120.2894465,95,35,11.94,0,100,NA
2025-2026,April,29,TAMIL NADU,2923,RAMANATHAPURAM,444578,800.02056607495,4,19,0,520,193,9429,5070,763,62560,0,23,95.67572,136.2367627,1045,1111,197547,243560,0,222772,271125,9949,40.5610427,4465,59,22.23,3.32,100,NA
2025-2026,April,29,TAMIL NADU,2928,KANNIYAKUMARI,53165,55.8413461538462,7,2,0,64,87,2144,624,16,4094,0,225,40.30187,40.65032,88,109,38119,47146,0,76825,94339,2208,0.34845,412,55,1.48,0,100,NA
2025-2026,April,29,TAMIL NADU,2932,TIRUPPUR,223459,783.680969303274,3,9,0,511,19,4963,7851,2640,62035,0,203,48.94915,110.4759429,2099,2129,133602,158126,0,178612,229769,5474,61.5267929,6936,49,35.86,15.63,0,NA
2025-2026,April,29,TAMIL NADU,2908,NAMAKKAL,182615,0,0,0,0.04995,437,150,4910,0,0,63350,0,20751,71.90064,103.14229,0,0,181179,226268,0,220170,276147,5347,31.1917,0,45,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2909,DHARMAPURI,300693,0,0,0,0,262,143,9113,0,0,37704,0,8344,72.68078,155.0139144,0,0,241763,276441,0,276865,313902,9375,82.3331343999999,0,55,35.13,1.49,0,NA
2025-2026,April,29,TAMIL NADU,2915,TIRUVARUR,173340,0,0,0,0,841,157,7627,0,0,144928,0,39,91.49243,172.2878231,0,0,178838,270883,0,196936,292532,8468,80.7953931,0,41,0.16,0,0,NA
2025-2026,April,29,TAMIL NADU,2919,PUDUKKOTTAI,327563,0,0,0,0,383,140,8291,0,0,82108,0,3,106.99545,225.4322365,0,0,293391,424090,0,332457,474695,8674,118.4367865,0,36,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2924,VIRUDHUNAGAR,446054,0,0,0,0,280,279,2558,0,0,75569,0,118,68.16208,99.5849895,0,0,215396,264148,0,246920,298493,2838,31.4229095,0,15,0.21,0,0,NA
2025-2026,April,29,TAMIL NADU,2927,THOOTHUKKUDI,275758,0,0,0,0,148,110,5492,0,0,58573,0,154,80.76864,175.7429113,0,0,149895,177253,0,170911,211725,5640,94.9742713,0,19,7.19,7.51,0,NA
2025-2026,April,29,TAMIL NADU,2931,ARIYALUR,194848,0,0,0,0,793,50,3781,0,0,56470,0,3022,41.94487,205.8903016,0,0,179781,254609,0,192034,268227,4574,163.9454316,0,50,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,348211.337105263,1,1,0,1367,419,9224,38,12,149595,1,27596,201.89808,334.2183881,35,38,511961,655343,0,540257,685871,10591,132.3203081,29,40,6.82,9.49,100,NA
2025-2026,April,29,TAMIL NADU,2917,KARUR,201390,0,0,0,0,37,24,5804,0,0,36323,0,25,41.91972,157.399612,0,0,123776,154519,0,142649,177289,5841,115.479892,0,72,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2919,PUDUKKOTTAI,327563,0,0,0,0,364,170,8303,0,0,82104,0,3,106.99545,209.7915635,0,0,293388,424084,0,332457,474695,8667,102.7961135,0,36,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2922,DINDIGUL,389734,0,0,0,0,1194,48,14354,0,0,82642,0,358,68.88469,313.173078,0,0,281011,340201,0,313663,375168,15548,244.288388,0,78,28.52,10.85,0,NA
2025-2026,April,29,TAMIL NADU,2924,VIRUDHUNAGAR,446054,0,0,0,0,188,280,2650,0,0,75426,0,118,68.16208,99.5188295,0,0,214633,263300,0,246920,298493,2838,31.3567495,0,15,0.25,0,0,NA
2025-2026,April,29,TAMIL NADU,2925,SIVAGANGAI,431184,673100.941,1,0,0,139,169,9733,10,1,45560,0,19,135.73031,203.0404041,10,10,185965,220762,0,201951,238279,9872,67.3100941,10,41,1.11,9,100,NA
2025-2026,April,29,TAMIL NADU,2931,ARIYALUR,194848,0,0,0,0,667,72,3907,0,0,56469,0,3022,41.94487,183.0839916,0,0,179779,254605,0,192031,268221,4574,141.1391216,0,50,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2932,TIRUPPUR,223459,0,0,0,0,350,19,5071,0,0,62030,0,203,48.94915,110.0913929,0,0,133586,158102,0,178589,229738,5421,61.1422429,0,49,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2934,Ranipet,282759,0,0,0,0,230,111,4789,0,0,54382,0,2224,56.56745,97.0985696,0,0,157162,217843,0,182409,247435,5019,40.5311196,0,50,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,507,85,7640,0,0,37681,0,4586,46.97269,110.4536331,0,0,132271,154635,0,145864,184549,8147,63.4809431,0,69,2.7,29.28,0,NA
2025-2026,April,29,TAMIL NADU,2909,DHARMAPURI,300693,0,0,0,0,337,133,9061,0,0,37697,0,8344,73.78478,166.8949597,0,0,241764,276393,0,276804,313792,9398,93.1101796999999,0,55,32.5,3.14,0,NA
2025-2026,April,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,281989,0,0,0,0,2145,170,4995,0,0,82818,0,5094,79.10731,169.18683,0,0,301930,373773,0,321426,399680,7140,90.07952,0,47,1.29,8.23,0,NA
2025-2026,April,29,TAMIL NADU,2922,DINDIGUL,389734,0,0,0,0,1535,47,14017,0,0,82645,0,358,68.88469,317.473328,0,0,281020,340213,0,313694,375204,15552,248.588638,0,78,18.71,6.93,0,NA
2025-2026,April,29,TAMIL NADU,2923,RAMANATHAPURAM,444578,1181.16024170064,4,16,0,520,193,9433,3434,596,62560,0,23,95.67572,136.2367627,757,792,197546,243559,0,222772,271125,9953,40.5610427,3077,59,22.53,3.55,100,NA
2025-2026,April,29,TAMIL NADU,2933,CHENGALPATTU,223676,22645.5601610738,6,2,0,725,108,6562,745,419,103520,14,4236,71.46863,240.1780532,111,125,194747,238714,0,218965,278386,7287,168.7094232,615,50,0,0.03,100,NA
2025-2026,April,29,TAMIL NADU,2934,Ranipet,282759,25066.5861728395,6,0,0,422,110,4657,162,0,54475,0,2250,56.56745,97.1753196,27,27,157629,218369,0,182410,247436,5079,40.6078696,156,50,0,0.48,0,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,0,0,0,0,257,91,4423,0,0,62094,0,71,57.02402,98.9500483,0,0,138332,188811,0,164156,218373,4680,41.9260283,0,52,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2904,VILLUPURAM,565553,615.816821885071,5,67,3.9974,1050,130,9702,27617,9715,176387,707,6854,167.49232,341.5598517,4802,5187,427923,598105,0,458185,640498,10752,170.0701317,22802,43,12.98,3.35,100,NA
2025-2026,April,29,TAMIL NADU,2905,VELLORE,181630,876.980087630943,4,43,0,552,46,7708,9928,2913,37681,900,4594,48.42381,135.4903931,2154,2230,132286,154657,0,145882,184569,8260,87.0665831,8403,68,15.49,15.77,100,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,722.743512922961,5,66,0,2223,242,8799,32036,7933,149612,630,27597,201.89808,433.4361918,5426,5849,511983,655394,0,540298,685940,11022,231.5381118,26001,41,11.53,7.2,100,NA
2025-2026,April,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,281989,1344.20788654445,5,14,0,2291,86,5046,8673,1819,82821,97,5094,79.10731,195.69046,1519,1617,301943,373792,0,321426,399683,7337,116.58315,7324,48,12.67,7.84,100,NA
2025-2026,April,29,TAMIL NADU,2933,CHENGALPATTU,223676,879.678669256921,8,53,0,1208,21,6223,28826,14234,103544,513,4237,71.46863,325.0448032,3439,3621,194772,238762,0,219038,278488,7431,253.5761732,24252,50,8.39,8.53,100,NA
2025-2026,April,29,TAMIL NADU,2904,VILLUPURAM,565553,613.748582701921,5,71,3.9974,1056,96,9709,31807,10960,176393,751,6852,167.49232,366.7047317,5358,5834,427912,598098,0,458203,640524,10765,195.2150117,25979,43,12.85,3.15,100,NA
2025-2026,April,29,TAMIL NADU,2918,PERAMBALUR,130491,434.558804744125,5,44,3.5266271,256,8,1930,22765,6889,55017,21,493,30.78198,133.235919,4202,4522,122579,174510,0,142850,197707,2186,98.9273119,19073,48,21.41,14.41,100,NA
2025-2026,April,29,TAMIL NADU,2920,MADURAI,500069,1450.60683938723,5,76,0,1295,78,11796,23043,4316,66761,66,659,107.43493,441.698264,4478,4604,271755,319615,0,299401,360086,13091,334.263334,20582,60,12.28,6.5,100,NA
2025-2026,April,29,TAMIL NADU,2925,SIVAGANGAI,431184,1518.65513862902,4,7,0,317,109,9597,5879,1739,45556,0,19,135.88043,225.1621656,1224,1249,185968,220749,0,201943,238241,9914,89.2817356,5451,41,9.52,7.84,100,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,553.95861642164,6,33,0,291,25,4570,17209,3769,62099,0,71,57.02402,152.3547583,2694,2870,138365,188864,0,164200,218460,4861,95.3307383,13945,54,14.76,12.23,100,NA
2025-2026,April,29,TAMIL NADU,2907,SALEM,324582,1529.48691176471,4,27,58.4620205,782,100,12708,8092,1181,80929,503,30092,99.7897,282.0178014,1634,1679,340996,422334,0,437240,530199,13490,123.7660809,7230,57,7.94,6.01,100,NA
2025-2026,April,29,TAMIL NADU,2908,NAMAKKAL,182615,311.897938599256,5,86,0.04995,633,8,4947,31726,7640,63361,2020,20752,89.55051,188.5532,6040,6121,181198,226300,0,220227,276223,5580,98.95274,28567,45,22.94,34.78,100,NA
2025-2026,April,29,TAMIL NADU,2918,PERAMBALUR,130491,432.469123060109,5,45,3.5266271,269,8,1924,22875,6929,55017,21,493,30.78198,133.235919,4223,4544,122579,174510,0,142852,197709,2193,98.9273119,19171,48,18.33,12.34,100,NA
2025-2026,April,29,TAMIL NADU,2923,RAMANATHAPURAM,444578,395.865365521004,5,179,0,752,92,9292,32994,6158,62568,8,23,96.22018,226.8319987,6544,6842,197572,243594,0,222786,271146,10044,130.6118187,28526,59,11.5,13.48,100,NA
2025-2026,April,29,TAMIL NADU,2924,VIRUDHUNAGAR,446054,397.322327887114,4,150,0,440,174,2427,26930,7662,75599,7,118,79.45075,186.4496529,5922,6043,215427,264226,0,246989,298614,2867,106.9989029,22930,15,5.99,14.48,100,NA
2025-2026,April,29,TAMIL NADU,2933,CHENGALPATTU,223676,756.211934993195,8,70,0,1430,8,6082,37473,18102,103548,768,4237,71.46863,354.8439284,4260,4495,194775,238766,0,219045,278493,7512,283.3752984,31232,51,12.77,11.83,100,NA
2025-2026,April,29,TAMIL NADU,2935,TIRUPATHUR,202917,675.706136905192,5,21,2.63,1460,23,6025,13849,1983,25374,392,5015,40.7813,136.9898429,2552,2668,129393,149067,0,141602,163775,7485,93.5785429,12032,64,10.29,8.43,100,NA
2025-2026,April,29,TAMIL NADU,2901,KANCHIPURAM,135834,376.852405135646,4,100,0.2901288,1086,3,2802,45486,16825,56945,976,2512,63.07066,234.7758738,9453,9570,128136,156243,0,140853,176907,3888,171.415085,40642,44,23.42,44.14,100,NA
2025-2026,April,29,TAMIL NADU,2904,VILLUPURAM,565553,520.915541840849,6,81,3.9974,1119,91,9672,40427,13995,176309,973,6851,167.49232,382.0802461,6032,6612,427890,597810,0,458165,640223,10791,210.5905261,33042,43,12.99,3.35,100,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,591.665582806732,6,80,0,2307,197,8934,47949,12137,149604,1007,27598,201.89808,485.5958103,7542,8144,511988,655395,0,540321,685956,11241,283.6977303,39043,41,11.24,6.42,100,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,505.724433625891,6,117,0,2432,167,8925,65628,17312,149607,1652,27599,201.89808,533.7949113,9409,10153,512000,655423,0,540351,686004,11357,331.8968313,53554,41,11.06,7.27,100,NA
2025-2026,April,29,TAMIL NADU,2907,SALEM,324582,839.382210417348,5,46,58.4620205,1254,52,12342,18354,3075,80931,854,30095,99.7897,312.3119314,3524,3677,341015,422374,0,437313,530300,13596,154.0602109,16077,57,7.85,6.53,100,NA
2025-2026,April,29,TAMIL NADU,2908,NAMAKKAL,182615,270.277741929858,6,144,0.04995,752,8,4923,57341,13117,63367,4558,20752,89.55051,244.58042,9499,9671,181212,226318,0,220242,276240,5675,154.97996,51349,44,23.51,33.12,100,NA
2025-2026,April,29,TAMIL NADU,2909,DHARMAPURI,300693,679.027894206752,6,22,3.25305,535,85,9011,24822,2720,37703,1361,8345,73.78478,245.5861339,3957,4062,241776,276406,0,276835,313827,9546,168.5483039,23124,56,23.15,20.37,100,NA
2025-2026,April,29,TAMIL NADU,2912,THE NILGIRIS,69877,425.971298564928,6,12,0,463,1,1930,8571,3037,11442,977,3478,28.13095,64.64095,1299,1379,30417,38771,0,55553,67883,2393,36.51,6554,84,17.9,18.24,100,NA
2025-2026,April,29,TAMIL NADU,2915,TIRUVARUR,173340,768.779725824176,7,29,2.3745722,3826,83,4935,18200,6573,144942,0,39,91.8463,234.1387823,2413,2969,178858,270939,0,197020,292667,8761,139.9179101,12763,42,23.74,3.72,100,NA
2025-2026,April,29,TAMIL NADU,2924,VIRUDHUNAGAR,446054,358.419696561697,5,188,0,490,172,2395,40107,12062,75602,12,118,79.45075,223.2021377,7752,7965,215433,264238,0,247012,298650,2885,143.7513877,34113,15,7.33,16.47,100,NA
2025-2026,April,29,TAMIL NADU,2937,KALLAKURICHI,223653,505.878552394372,7,94,9.79389,1816,47,8527,96518,26218,162297,1455,20442,84.61395,582.6717012,13778,16161,295521,512730,0,315728,537442,10343,488.2638612,71321,30,39.31,27.55,100,NA
